bairro,mes,prisoes
MARECHAL RONDON,2025-01,6
MARECHAL RONDON,2025-02,1
MARECHAL RONDON,2025-03,1
MARECHAL RONDON,2025-04,3
MARECHAL RONDON,2025-05,3
MARECHAL RONDON,2025-06,1
MARECHAL RONDON,2025-07,3
MARECHAL RONDON,2025-08,1
MARECHAL RONDON,2025-09,3
MARECHAL RONDON,2025-10,2
MARECHAL RONDON,2025-11,5
MARECHAL RONDON,2025-12,6
MESTRE ANTONIO,2025-01,1
MESTRE ANTONIO,2025-11,2
MESTRE ANTONIO,2025-12,1
POTIRA,2025-01,1
POTIRA,2025-02,3
POTIRA,2025-03,1
POTIRA,2025-04,2
POTIRA,2025-05,2
POTIRA,2025-06,2
POTIRA,2025-07,3
POTIRA,2025-08,4
POTIRA,2025-10,2
POTIRA,2025-11,4
POTIRA,2025-12,2
MUNGUBA,2025-01,1
MUNGUBA,2025-10,1
MUNGUBA,2025-11,1
CONJ. METROPOLITANO,2025-01,1
GUAJIRU,2025-01,1
GUAJIRU,2025-04,3
GUAJIRU,2025-06,1
GUAJIRU,2025-10,1
GUAJIRU,2025-11,1
GUAJIRU,2025-12,1
JARDIM ICARAI,2025-01,2
JARDIM ICARAI,2025-02,1
JARDIM ICARAI,2025-03,4
JARDIM ICARAI,2025-09,3
ITAMBE I,2025-01,1
ITAMBE I,2025-03,1
ITAMBE I,2025-10,1
ITAMBE I,2025-12,1
SAO MIGUEL,2025-01,2
SAO MIGUEL,2025-04,1
SAO MIGUEL,2025-06,1
SAO MIGUEL,2025-08,1
SAO MIGUEL,2025-09,1
SAO MIGUEL,2025-10,2
SAO MIGUEL,2025-12,3
PADRE JULIO MARIA,2025-01,1
PADRE JULIO MARIA,2025-06,1
PADRE JULIO MARIA,2025-07,1
PADRE JULIO MARIA,2025-08,2
PADRE JULIO MARIA,2025-10,1
CIGANA,2025-01,2
CIGANA,2025-08,1
CIGANA,2025-09,1
CIGANA,2025-12,1
TOCO,2025-01,1
TOCO,2025-04,1
TOCO,2025-11,1
CONJUNTO CEARA,2025-01,1
NOVA METROPOLE,2025-01,2
NOVA METROPOLE,2025-02,1
NOVA METROPOLE,2025-03,1
NOVA METROPOLE,2025-05,2
NOVA METROPOLE,2025-10,1
NOVA METROPOLE,2025-11,1
JUREMA,2025-01,2
JUREMA,2025-03,1
JUREMA,2025-04,3
JUREMA,2025-05,2
JUREMA,2025-06,1
JUREMA,2025-10,1
CENTRO,2025-01,1
CENTRO,2025-03,1
CENTRO,2025-04,1
CENTRO,2025-07,1
CENTRO,2025-08,1
CENTRO,2025-10,1
CAMPO GRANDE,2025-01,2
CAMPO GRANDE,2025-02,1
CAMPO GRANDE,2025-06,1
CAMPO GRANDE,2025-07,2
PARQUE GUADALAJARA,2025-01,1
PARQUE GUADALAJARA,2025-02,1
PARQUE GUADALAJARA,2025-03,1
PARQUE GUADALAJARA,2025-05,1
PARQUE GUADALAJARA,2025-07,2
PARQUE GUADALAJARA,2025-10,1
POTIRA 1,2025-01,1
BOA VISTA,2025-01,1
BOA VISTA,2025-03,1
BOA VISTA,2025-09,2
BOA VISTA,2025-11,1
PARQUE SOLEDADE,2025-01,1
PARQUE SOLEDADE,2025-03,1
PARQUE SOLEDADE,2025-04,1
PARQUE SOLEDADE,2025-09,1
PARQUE SOLEDADE,2025-12,2
PARQUE POTIRA,2025-01,2
PARQUE POTIRA,2025-07,2
"RUA JOSE LINO DA SILVEIRA, 315, CONDOMINIO LINO III",2025-02,1
ARIANOPOLIS,2025-02,2
ARIANOPOLIS,2025-04,2
ARIANOPOLIS,2025-05,1
ARIANOPOLIS,2025-12,1
METROPOLES SUL,2025-02,1
TABAPUA,2025-02,1
TABAPUA,2025-05,2
TABAPUA,2025-11,2
TABAPUA,2025-12,2
MATOES,2025-02,1
MATOES,2025-05,1
TABAPUAZINHO,2025-03,1
TABAPUAZINHO,2025-04,2
TABAPUAZINHO,2025-09,1
TABAPUAZINHO,2025-11,1
TABAPUAZINHO,2025-12,1
CONJUNTO METROPOLITANO,2025-03,1
CONJUNTO METROPOLITANO,2025-04,1
CONJUNTO METROPOLITANO,2025-06,1
CONJUNTO METROPOLITANO,2025-07,3
CONJUNTO METROPOLITANO,2025-09,1
CONJUNTO METROPOLITANO,2025-10,1
CONJUNTO METROPOLITANO,2025-12,1
ARATURI,2025-03,1
ARATURI,2025-04,3
ARATURI,2025-05,3
ARATURI,2025-07,2
ARATURI,2025-08,1
ARATURI,2025-09,4
ARATURI,2025-10,6
ARATURI,2025-11,5
ARATURI,2025-12,2
CAPUAN,2025-04,1
CAPUAN,2025-09,1
ZONA RURAL,2025-04,1
ZONA RURAL,2025-10,1
NOVA METROPOLE 5,2025-04,1
